
--- Fetching tournaments for region: EU ---
Found 30 mobile-related tournaments in EU.
ID: epicgames_S37_SurfWitchBlitzMobileCup_OCE | Title: Champion Surf Witch FNCS Blitz Cup (Mobile) | Regions: OCE
ID: epicgames_S38_TouchOnlyMobileCup_OCE | Title: Touch-Only Test Cup | Regions: OCE
ID: epicgames_S38_BlitzMobileCup_OCE | Title: Blitz Mobile Cup | Regions: OCE
ID: epicgames_S39_BlitzMobileCupDec_OCE | Title: Mobile Series | Regions: OCE
ID: epicgames_S39_BlitzMobileCupDecQual_OCE | Title: Mobile Series | Regions: OCE
ID: epicgames_S39_MobileSeriesJan_OCE | Title: Mobile Series | Regions: OCE
ID: epicgames_S39_MobileSeriesCupJanQual_OCE | Title: Mobile Series | Regions: OCE
ID: epicgames_S39_MobileSeriesFeb_OCE | Title: Mobile Series | Regions: OCE
ID: epicgames_S39_MobileSeriesCupFebQual_OCE | Title: Mobile Series | Regions: OCE
ID: epicgames_S39_SoloLevelingMobileCup_OCE | Title: Solo Leveling: Arise Mobile Cup | Regions: OCE
ID: epicgames_S39_MobileSeriesMar_OCE | Title: Mobile Series | Regions: OCE
ID: epicgames_S39_MobileSeriesCupMarQual_OCE | Title: Mobile Series | Regions: OCE
ID: epicgames_S40_MobileSeriesMar_OCE | Title: Mobile Series | Regions: OCE
ID: epicgames_S40_MobileSeriesCupQual_OCE | Title: Mobile Series | Regions: OCE
ID: epicgames_S40_MobileSeriesApr_OCE | Title: Mobile Series | Regions: OCE
ID: epicgames_S40_TripleThreatMobileCup_OCE | Title: Triple Threat Mobile Cup | Regions: OCE
ID: epicgames_S40_MobileSeriesMay_OCE | Title: Mobile Series | Regions: OCE

--- Fetching tournaments for region: ME ---
Found 29 mobile-related tournaments in ME.
ID: epicgames_S37_BlitzMobileCup_ME | Title: Blitz Mobile Cup | Regions: ME
ID: epicgames_S37_BlitzMobileCupWeekly_ME | Title: Blitz Mobile Cup | Regions: ME
ID: epicgames_S37_AxeOfChampsBlitzMobileCup_ME | Title: Axe of Champions Blitz Cup (Mobile) | Regions: ME
ID: epicgames_S37_SurfWitchBlitzMobileCup_ME | Title: Champion Surf Witch FNCS Blitz Cup (Mobile) | Regions: ME
ID: epicgames_S38_TouchOnlyMobileCup_ME | Title: Touch-Only Test Cup | Regions: ME
ID: epicgames_S38_BlitzMobileCup_ME | Title: Blitz Mobile Cup | Regions: ME
ID: epicgames_S38_StrangerThingsMobileCup_ME | Title: Stranger Things Cup Blitz (Mobile) | Regions: ME
ID: epicgames_S39_BlitzMobileCupDec_ME | Title: Mobile Series | Regions: ME
ID: epicgames_S39_BlitzMobileCupDecQual_ME | Title: Mobile Series | Regions: ME
ID: epicgames_S39_MobileSeriesJan_ME | Title: Mobile Series | Regions: ME
ID: epicgames_S39_MobileSeriesCupJanQual_ME | Title: Mobile Series | Regions: ME
ID: epicgames_S39_MobileSeriesFeb_ME | Title: Mobile Series | Regions: ME
ID: epicgames_S39_MobileSeriesCupFebQual_ME | Title: Mobile Series | Regions: ME
ID: epicgames_S39_SoloLevelingMobileCup_ME | Title: Solo Leveling: Arise Mobile Cup | Regions: ME
ID: epicgames_S39_MobileSeriesMar_ME | Title: Mobile Series | Regions: ME
ID: epicgames_S39_MobileSeriesCupMarQual_ME | Title: Mobile Series | Regions: ME
ID: epicgames_S40_MobileSeriesMar_ME | Title: Mobile Series | Regions: ME
ID: epicgames_S40_MobileSeriesCupQual_ME | Title: Mobile Series | Regions: ME
ID: epicgames_S40_MobileSeriesApr_ME | Title: Mobile Series | Regions: ME
ID: epicgames_S40_TripleThreatMobileCup_ME | Title: Triple Threat Mobile Cup | Regions: ME
ID: epicgames_S40_MobileSeriesMay_ME | Title: Mobile Series | Regions: ME
